ip_addr,port,ip version,end point,count,sum of frame size,packet/s,Throughput,
158.108.67.44,44357,0,1,1232.0,81149.0,20.5333333333333,1352.48333333333,
180.183.236.30,47873,0,1,1232.0,1328459.0,20.5333333333333,22140.9833333333,
74.125.101.82,49702,0,1,1228.0,78654.0,20.4666666666667,1310.9,
158.108.154.163,47873,0,0,1227.0,149014.0,20.45,2483.56666666667,
202.28.85.12,63213,0,1,1227.0,75478.0,20.45,1257.96666666667,
158.108.118.188,20480,0,0,1214.0,99991.0,20.2333333333333,1666.51666666667,
158.108.135.19,47873,0,0,1203.0,75281.0,20.05,1254.68333333333,
158.108.246.177,20480,0,0,1200.0,86404.0,20.0,1440.06666666667,
103.28.55.19,32105,0,0,1197.0,584713.0,19.95,9745.21666666667,
74.125.213.214,24775,0,1,1194.0,71640.0,19.9,1194.0,
158.108.134.242,20480,0,0,1186.0,75482.0,19.7666666666667,1258.03333333333,
61.137.188.136,4591,0,1,1186.0,75482.0,19.7666666666667,1258.03333333333,
202.28.85.12,38634,0,1,1181.0,94156.0,19.6833333333333,1569.26666666667,
202.28.85.12,11217,0,1,1178.0,71016.0,19.6333333333333,1183.6,
158.108.133.64,43083,0,0,1177.0,1689368.0,19.6166666666667,28156.1333333333,
216.14.154.86,985,0,1,1177.0,1689368.0,19.6166666666667,28156.1333333333,
61.19.12.35,48580,0,1,1176.0,70560.0,19.6,1176.0,
158.108.147.140,7224,0,0,1168.0,594404.0,19.4666666666667,9906.73333333333,
84.228.17.15,11047,0,1,1168.0,594404.0,19.4666666666667,9906.73333333333,
158.108.219.15,7043,0,1,1168.0,79536.0,19.4666666666667,1325.6,
158.108.237.85,31361,0,0,1167.0,328235.0,19.45,5470.58333333333,
111.84.116.46,56307,0,1,1167.0,328235.0,19.45,5470.58333333333,
158.108.111.186,36615,0,0,1159.0,72914.0,19.3166666666667,1215.23333333333,
180.44.59.134,985,0,0,1155.0,72156.0,19.25,1202.6,
158.108.133.64,59824,0,1,1155.0,72156.0,19.25,1202.6,
61.19.12.10,17873,0,1,1152.0,72715.0,19.2,1211.91666666667,
110.164.180.143,18934,0,1,1143.0,68580.0,19.05,1143.0,
158.108.181.46,41140,0,0,1141.0,1354042.0,19.0166666666667,22567.3666666667,
14.200.16.243,47009,0,1,1141.0,1354042.0,19.0166666666667,22567.3666666667,
111.223.35.178,17039,0,0,1135.0,647613.0,18.9166666666667,10793.55,
111.223.35.183,15503,0,0,1129.0,660395.0,18.8166666666667,11006.5833333333,
158.108.130.4,20480,0,1,1125.0,1339288.0,18.75,22321.4666666667,
158.108.147.63,47873,0,1,1122.0,620914.0,18.7,10348.5666666667,
110.164.180.32,48139,0,0,1122.0,1339108.0,18.7,22318.4666666667,
158.108.232.217,20480,0,0,1118.0,68336.0,18.6333333333333,1138.93333333333,
202.28.85.15,41410,0,1,1118.0,68336.0,18.6333333333333,1138.93333333333,
202.28.85.79,49100,0,1,1114.0,69512.0,18.5666666666667,1158.53333333333,
158.108.153.106,20480,0,0,1110.0,84676.0,18.5,1411.26666666667,
202.28.85.13,27333,0,1,1110.0,84676.0,18.5,1411.26666666667,
115.87.181.140,20480,0,0,1109.0,128474.0,18.4833333333333,2141.23333333333,
158.108.244.98,6404,0,0,1102.0,747442.0,18.3666666666667,12457.3666666667,
180.191.195.205,2886,0,1,1102.0,747442.0,18.3666666666667,12457.3666666667,
61.19.12.35,48068,0,1,1097.0,65820.0,18.2833333333333,1097.0,
61.19.12.35,48324,0,1,1094.0,65640.0,18.2333333333333,1094.0,
158.108.153.47,20480,0,0,1089.0,83606.0,18.15,1393.43333333333,
202.28.85.13,30980,0,1,1079.0,64874.0,17.9833333333333,1081.23333333333,
27.145.176.246,20480,0,0,1071.0,65220.0,17.85,1087.0,
158.108.216.17,17858,0,1,1071.0,65220.0,17.85,1087.0,
158.108.2.94,47873,0,0,1057.0,74916.0,17.6166666666667,1248.6,
158.108.86.64,20480,0,0,1054.0,77850.0,17.5666666666667,1297.5,
202.28.85.14,4304,0,1,1054.0,77850.0,17.5666666666667,1297.5,
158.108.219.38,58697,0,0,1052.0,1522638.0,17.5333333333333,25377.3,
125.26.126.145,47873,0,1,1052.0,1522638.0,17.5333333333333,25377.3,
158.108.228.67,20480,0,0,1048.0,69522.0,17.4666666666667,1158.7,
202.28.85.14,32751,0,1,1048.0,69522.0,17.4666666666667,1158.7,
158.108.117.34,20480,0,0,1047.0,67333.0,17.45,1122.21666666667,
158.108.246.177,20480,0,1,1041.0,1499732.0,17.35,24995.5333333333,
202.28.85.15,49876,0,1,1041.0,66961.0,17.35,1116.01666666667,
84.228.17.15,11047,0,0,1040.0,217475.0,17.3333333333333,3624.58333333333,
158.108.147.140,7224,0,1,1040.0,217475.0,17.3333333333333,3624.58333333333,
158.108.142.200,20480,0,0,1036.0,76879.0,17.2666666666667,1281.31666666667,
202.28.85.15,59587,0,1,1036.0,76879.0,17.2666666666667,1281.31666666667,
208.84.67.197,60067,0,1,1029.0,67914.0,17.15,1131.9,
158.108.225.36,47873,0,0,1027.0,62732.0,17.1166666666667,1045.53333333333,
74.125.215.115,48851,0,1,1019.0,61140.0,16.9833333333333,1019.0,
158.108.133.123,20480,0,1,1019.0,596015.0,16.9833333333333,9933.58333333333,
158.108.207.231,20480,0,1,1015.0,422295.0,16.9166666666667,7038.25,
223.204.119.114,20480,0,0,1004.0,65100.0,16.7333333333333,1085.0,
158.108.124.105,20480,0,0,998.0,67914.0,16.6333333333333,1131.9,
202.28.85.13,33526,0,1,996.0,67782.0,16.6,1129.7,
223.204.119.114,20480,0,1,987.0,1373024.0,16.45,22883.7333333333,
202.28.85.76,48090,0,1,986.0,62284.0,16.4333333333333,1038.06666666667,
158.108.147.217,20480,0,0,986.0,62947.0,16.4333333333333,1049.11666666667,
158.108.181.15,24607,0,0,984.0,1447812.0,16.4,24130.2,
1.10.251.189,35165,0,1,984.0,1447812.0,16.4,24130.2,
203.150.19.35,36296,0,0,982.0,117510.0,16.3666666666667,1958.5,
158.108.158.97,14090,0,1,982.0,117510.0,16.3666666666667,1958.5,
